,R,F,M,·ÖÀà
589,28,23,751.19,1
590,8,1,954.72,3
591,26,3,1066.27,0
592,17,2,489.08,0
593,3,15,885.49,1
594,39,14,1454.39,4
595,13,8,519.83,3
596,18,21,473.87,1
597,10,21,1465.95,1
598,4,6,301.49,3
599,20,16,951.76,1
600,16,15,1282.64,1
601,14,6,347.42,3
602,1,5,164.98,3
603,20,7,99.67,0
604,7,5,1909.29,2
605,1,11,981.2,3
606,16,14,1473.62,4
607,18,1,72.31,0
608,20,23,1128.24,1
609,2,9,1444.39,2
610,1,1,128.0,3
612,18,1,531.73,0
613,27,1,85.63,0
614,2,2,698.67,3
615,3,3,690.64,3
616,29,1,249.85,0
617,9,3,563.28,3
618,19,5,1191.27,4
619,21,22,1400.81,1
620,6,2,1749.21,2
621,23,11,471.6,0
622,27,19,1325.11,4
623,12,13,778.11,1
624,8,6,216.09,3
626,19,2,1657.46,2
627,26,2,1483.83,4
628,21,5,554.38,0
629,15,13,1457.71,2
630,7,15,1537.57,1
631,3,21,627.72,1
632,1,3,1920.02,2
633,7,9,739.45,3
634,19,23,639.21,1
635,2,22,1321.41,1
636,19,14,1214.69,4
637,5,2,1576.96,2
638,2,6,1726.92,2
639,9,2,418.18,3
641,24,11,1829.07,4
642,9,19,919.33,1
643,28,14,950.21,4
644,22,3,773.16,0
645,29,1,314.52,0
646,4,2,1708.36,2
647,3,5,129.92,3
648,11,2,1427.69,2
649,22,13,1128.25,4
650,29,2,1198.38,4
651,9,24,880.79,1
652,21,2,1152.14,0
654,26,18,568.95,4
655,13,15,553.58,1
656,10,1,103.32,3
657,8,5,62.11,3
658,29,14,1572.41,4
659,15,4,946.16,0
660,16,7,1189.99,2
661,17,1,1856.61,2
662,9,9,802.56,3
663,7,11,1399.32,2
664,3,12,853.18,3
665,16,18,1346.3,1
666,12,8,1899.43,2
667,8,19,1829.73,1
668,14,6,1995.32,2
670,6,24,579.0,1
671,9,17,1535.08,1
672,10,22,1035.15,1
673,5,6,1990.33,2
674,16,12,1998.24,2
675,26,4,1904.23,4
676,20,4,1844.99,4
677,16,18,835.03,1
678,5,11,1960.2,2
679,2,4,480.5,3
680,16,5,1041.53,0
681,16,7,233.22,0
682,21,16,1906.48,4
683,29,11,572.41,0
684,8,18,1634.84,1
685,15,2,120.92,0
686,8,2,312.85,3
687,21,1,1097.34,0
688,14,7,583.65,3
689,13,7,1361.69,2
690,28,21,1168.85,4
691,4,3,1840.56,2
692,16,5,1254.12,2
693,19,24,1088.95,1
694,11,2,1940.85,2
695,3,18,1187.4,1
696,9,2,1725.07,2
697,27,7,1717.7,4
698,12,4,1290.95,2
699,16,3,1075.38,0
701,5,13,1553.19,2
702,24,12,1971.23,4
703,27,6,226.25,0
704,13,5,1779.41,2
705,8,11,1934.78,2
706,30,2,377.73,0
707,7,23,959.73,1
708,18,5,406.12,0
709,18,1,807.35,0
710,0,21,814.76,1
711,7,3,1199.35,2
712,19,1,593.31,0
713,12,2,726.51,3
714,14,22,980.27,1
715,7,19,722.57,1
716,15,7,207.07,0
717,8,5,334.09,3
718,11,3,1472.33,2
719,14,5,1670.74,2
721,17,22,1949.76,1
722,3,22,490.72,1
723,9,3,145.14,3
724,5,1,90.41,3
725,10,4,118.43,3
726,5,2,527.92,3
727,23,11,1887.65,4
728,27,16,1344.29,4
729,24,2,1665.91,4
730,10,19,439.31,1
731,4,2,812.47,3
732,16,6,1251.32,2
733,21,22,1497.22,1
734,25,14,1328.08,4
735,7,1,285.05,3
736,27,9,270.18,0
738,18,1,73.1,0
739,23,6,271.1,0
740,28,7,309.92,0
741,27,4,1582.05,4
742,5,17,1661.15,1
743,24,6,327.09,0
744,15,6,214.7,0
745,14,4,573.03,3
746,15,9,423.98,0
747,22,3,895.91,0
748,28,5,1651.61,4
749,20,2,161.6,0
750,10,2,666.05,3
751,12,4,596.93,3
752,27,18,1919.11,4
753,22,18,1348.37,4
754,11,16,1746.07,1
755,6,24,685.08,1
756,28,6,1272.97,4
757,3,19,1527.41,1
758,17,5,1968.29,2
759,21,24,1269.7,1
760,27,14,755.85,4
761,6,21,1471.02,1
762,28,26,1167.93,1
763,20,1,343.18,0
764,26,11,1051.25,4
765,20,18,1190.9,1
766,24,6,564.02,0
767,5,28,1090.56,1
768,8,22,1687.67,1
769,17,21,1968.93,1
770,28,18,436.54,0
771,28,5,1681.4,4
772,20,1,28.43,0
773,4,20,837.3,1
774,7,17,803.21,1
775,4,1,49.7,3
776,1,11,612.05,3
777,14,20,1121.53,1
778,16,6,173.27,0
779,12,23,954.11,1
780,3,26,701.23,1
781,25,10,995.61,4
782,15,4,1576.22,2
783,5,5,1559.12,2
784,8,1,161.15,3
785,11,2,225.69,3
786,2,2,1776.01,2
787,24,10,1599.47,4
788,21,3,304.23,0
789,6,15,1856.11,2
790,24,10,734.29,0
792,25,8,879.55,0
794,8,24,1830.94,1
795,2,6,521.58,3
796,18,22,598.34,1
797,29,9,245.96,0
798,4,20,1127.64,1
799,25,15,1176.69,4
800,13,23,1312.58,1
801,6,25,547.58,1
802,4,4,714.95,3
803,1,22,1617.22,1
804,22,8,1893.54,4
805,27,29,1290.45,1
806,23,13,1434.73,4
807,3,5,200.52,3
808,8,17,1042.82,1
809,21,7,1542.58,4
810,7,1,171.09,3
811,16,1,49.61,0
812,3,3,443.42,3
813,15,8,410.27,0
814,18,1,338.22,0
815,26,9,389.47,0
816,19,9,1627.36,4
817,2,15,617.82,3
818,27,17,921.0,4
819,10,13,602.29,3
820,5,7,132.27,3
821,15,19,704.16,1
822,26,17,1336.09,4
823,24,9,199.27,0
824,28,9,1438.39,4
825,20,26,773.5,1
826,20,3,251.94,0
827,15,10,1337.51,2
828,18,11,301.09,0
829,22,14,714.36,0
830,10,2,1513.69,2
831,14,16,393.81,1
832,25,10,904.58,4
833,21,1,358.62,0
834,18,13,1696.64,4
835,20,3,465.7,0
836,10,5,631.59,3
837,29,15,1283.59,4
838,11,9,1335.59,2
839,27,23,990.49,1
840,21,17,1256.47,4
841,1,19,1728.84,1
842,8,4,617.83,3
843,10,9,1380.94,2
844,4,3,1783.68,2
845,4,1,23.24,3
846,19,9,587.24,0
847,11,13,1574.3,2
848,19,1,1898.46,2
849,8,1,953.18,3
850,23,2,351.39,0
851,6,7,652.8,3
852,26,2,1270.24,4
853,19,6,207.82,0
854,23,1,68.31,0
855,20,7,1525.26,4
856,13,12,1992.17,2
857,18,15,1956.9,4
858,15,3,1945.2,2
859,2,8,1893.18,2
860,22,27,1554.73,1
861,11,18,1424.69,1
862,5,2,248.11,3
863,1,5,275.93,3
864,9,13,1611.27,2
865,10,1,93.72,3
866,18,10,1530.48,4
867,27,13,1509.41,4
868,9,24,1281.48,1
869,26,3,539.2,0
870,29,2,1399.1,4
871,25,29,1733.38,1
872,27,14,653.55,0
873,43,2,706.12,0
874,24,29,1489.27,1
875,28,21,1956.83,4
876,12,14,1795.23,2
877,10,22,730.88,1
878,7,11,1583.77,2
879,18,2,169.75,0
880,18,6,1607.65,2
882,20,23,681.57,1
883,16,12,1528.57,4
884,5,28,1396.47,1
885,3,3,259.83,3
886,4,6,1804.3,2
887,15,21,1073.82,1
888,27,11,884.15,4
889,16,7,411.65,0
890,20,20,933.47,1
891,9,19,1692.98,1
892,1,14,1168.04,1
893,18,9,289.67,0
894,21,6,1527.15,4
895,1,20,1951.03,1
896,0,4,1331.32,2
897,13,27,719.12,1
898,16,6,735.31,0
900,26,1,150.18,0
901,24,2,157.54,0
902,2,9,1748.72,2
903,15,3,890.99,0
904,16,11,649.79,0
905,23,27,1628.78,1
906,21,2,1599.24,4
907,12,23,1550.61,1
908,8,1,183.55,3
909,26,5,1230.32,4
910,9,14,1627.19,2
911,11,28,1154.7,1
912,17,1,33.58,0
913,15,9,1959.64,2
914,10,22,1581.14,1
915,27,5,1879.82,4
916,25,3,1142.4,4
917,15,1,174.64,0
918,5,2,638.81,3
919,19,4,1067.78,0
920,14,22,1345.92,1
921,6,3,1311.06,2
922,26,8,962.62,4
923,23,1,285.97,0
924,17,17,1651.68,1
925,16,3,1503.87,2
926,6,13,1506.48,2
927,22,24,625.12,1
928,28,17,1742.95,4
929,17,26,1292.21,1
930,16,7,1801.38,2
931,1,27,1585.1,1
933,2,17,2341.93,2
934,1,5,1865.78,2
935,19,4,1163.08,0
936,9,7,1007.06,3
937,27,7,1322.94,4
938,30,4,860.41,0
939,22,1,776.7,0
